kimg,tick,fid_1step,fid_2step,snapshot
500,50,8.068466458133344,8.126962706892003,ct-runs-medium/00000-cifar10-32x32-uncond-ddpmpp-ect-RAdam-0.000100-gpus1-batch128-fp32-medium_2k/network-snapshot-000050.pkl
1000,100,2.796782355282173,2.803471557867071,ct-runs-medium/00000-cifar10-32x32-uncond-ddpmpp-ect-RAdam-0.000100-gpus1-batch128-fp32-medium_2k/network-snapshot-000100.pkl
1500,150,2.7358513428679982,2.6724334227263133,ct-runs-medium/00000-cifar10-32x32-uncond-ddpmpp-ect-RAdam-0.000100-gpus1-batch128-fp32-medium_2k/network-snapshot-000150.pkl
1980,198,2.460386203647435,2.509729705257964,ct-runs-medium/00000-cifar10-32x32-uncond-ddpmpp-ect-RAdam-0.000100-gpus1-batch128-fp32-medium_2k/network-snapshot-000198.pkl
